Conhecimento;Especificação
Autoconhecimento e Desenvolvimento Pessoal;Reconhecer as características e qualidades dos diferentes estilos de liderança.
Autoconhecimento e Desenvolvimento Pessoal;Identificar dimensões da inteligência emocional e comportamental para a autoliderança, assim como para interações interpessoais e em grupos.
Autoconhecimento e Desenvolvimento Pessoal;Demonstrar conhecimento acerca de técnicas de gestão do tempo e produtividade.
Engajamento de Pessoas e Equipes;Compreender as particularidades e as potencialidades da liderança no serviço público.
Engajamento de Pessoas e Equipes;Dominar técnicas e métodos de gestão de pessoas e liderança.
Engajamento de Pessoas e Equipes;Identificar diferentes ferramentas e tecnologias para a gestão do desempenho e desenvolvimento de equipes de alta performance.
Engajamento de Pessoas e Equipes;Compreender aspectos fundamentais para promoção da qualidade de vida no trabalho e equilíbrio entre trabalho e vida pessoal.
Engajamento de Pessoas e Equipes;Reconhecer as características, requisitos, vantagens e desvantagens de diversos arranjos e regimes de trabalho e como se relacionam com os diversos perfis e competências da equipe e da liderança.
Engajamento de Pessoas e Equipes;Conhecer técnicas de feedback e diálogo produtivo como ferramentas de melhoria e desenvolvimento de pessoas.
Engajamento de Pessoas e Equipes;Identificar estratégias adequadas para atrair, recrutar e motivar talentos com o objetivo de desenvolver equipes diversificadas e de alto desempenho.
Coordenação e Colaboração em Rede;Identificar diferentes arranjos institucionais e relações organizacionais no setor público e na sociedade civil passíveis de atuar em rede para a  implementação e efetividade de políticas públicas.
Coordenação e Colaboração em Rede;Identificar tendências e desafios para a efetividade de redes de governança diante de fatores organizacionais e contextuais de ordem política, econômica e social.
Coordenação e Colaboração em Rede;Compreender as relações federativas e o papel de cada ente federado e de cada poder para a consecução de objetivos públicos.
Coordenação e Colaboração em Rede;Compreender a interface entre as esferas política e técnica e suas implicações para a área de atuação.
Coordenação e Colaboração em Rede;Identificar os diversos atores no contexto em que opera, seus objetivos e potenciais oportunidades de parcerias e de benefício mútuo.
