Unidade;Sigla;Competencia
Divisão de Análise Econômica;DIECO;"I - elaborar estudos acerca do impacto econômico da inovação impulsionada pela propriedade industrial sobre o processo de desenvolvimento nacional e a competitividade de empresas e setores produtivos no País e em espaços geográficos abrangidos por acordos internacionais de interesse;
II - elaborar relatórios periódicos reunindo informações estatísticas de propriedade industrial no Brasil com base nos dados produzidos pelo INPI;
III - integrar o processo de planejamento das bases de dados e informações estatísticas de propriedade industrial do INPI;
IV - estabelecer e gerenciar parcerias internas e externas ao INPI voltadas ao desenvolvimento de estudos econômicos baseados nos dados estatísticos do INPI; e
V - participar da elaboração e executar as atividades previstas nos planos de trabalho dos Acordos de Cooperação Técnica que envolvam estudos econômicos baseados nos dados estatísticos do INPI."
Divisão de Inteligência de Mercado e Preços;DIIMP;"I - gerenciar bases de dados do INPI e produzir e divulgar as informações estatísticas oficiais de propriedade industrial no Brasil;
II - a partir da análise de dados e gestão de indicadores, fornecer informações relevantes para o processo decisório no nível estratégico e o desenvolvimento do potencial competitivo do INPI;
III - desenvolver estudos, metodologias e ferramentas na temática de valor econômico da PI, incluindo valoração de ativos intangíveis para fins de monetização dos direitos de propriedade industrial, além de promover atividades de sensibilização, capacitação e disseminação sistemática dos resultados obtidos para setores estratégicos, instituições públicas e privadas, e sociedade em geral;
IV - executar as atividades de gestão e acompanhamento da Política de Preços do INPI; e
V - participar da elaboração e execução de atividades de Cooperação Técnica interna e Acordos de Cooperação Técnica nacionais e internacionais quando relacionadas ao acesso ao banco de dados estatísticos do INPI e à execução de estudos e projetos de inteligência de mercado."
Divisão de Estudos em Propriedade Industrial e Inovação;DEPIN;"I - promover e difundir a informação tecnológica contida nos diferentes ativos de PI em áreas estratégicas com vistas à promoção do desenvolvimento tecnológico e da inovação e o uso qualificado do sistema de propriedade industrial;
II - executar as atividades de disseminação e uso estratégico da informação tecnológica e inteligência em PI;
III - cooperar com outros escritórios de PI e representar o INPI em fóruns de discussão interinstitucionais e internacionais visando a troca de experiências em relação ao processamento, uso estratégico e disseminação da informação contida em diferentes ativos de PI (IP analytics);
IV - proporcionar suporte estratégico a decisões da Presidência e Diretorias do INPI através da elaboração de estudos de inteligência em PI e/ou levantamentos de dados relacionados à inteligência em PI e inovação;
V - atuar na proposta e execução de estudos e levantamentos de dados relacionados a inteligência em PI para subsidiar e/ou monitorar políticas públicas sob demanda de entidades de governos; e
VI - participar da elaboração e execução de atividades de Cooperação Técnica interna e Acordos de Cooperação Técnica nacionais e internacionais quando relacionadas à execução de estudos e projetos envolvendo a análise de dados de propriedade industrial e inteligência em PI."
Coordenação de Relações Internacionais;COINT;"I - coordenar as atividades propostas pela Alta Administração voltadas para as relações internacionais da Autarquia;
II - negociar e coordenar a realização de programas e acordos de cooperação técnica e de intercâmbio com instituições internacionais nos temas relativos à propriedade intelectual e à difusão tecnológica;
III - acompanhar, em articulação com as diversas áreas da Autarquia, a alocação dos recursos indispensáveis ao cumprimento de compromissos internacionais demandados pela Presidência do INPI;
IV - identificar, em articulação com as diversas áreas do INPI, potenciais parceiros para a cooperação internacional, em linha com as diretrizes preestabelecidas em âmbito bilateral, regional, inter-regional, multilateral e plurilateral;
V - promover e coordenar a contribuição do INPI na elaboração da posição do Brasil em temas de propriedade intelectual discutidos nos foros internacionais, inclusive no atendimento ao disposto no art. 2º da Lei nº 5.648, de 11 de dezembro de 1970, com anova redação conferida pela Lei nº 9.279, de 14 de maio de 1996;
VI - organizar e apoiar a representação do INPI nos foros internacionais;
VII - assessorar os dirigentes em suas missões internacionais;
VIII - coordenar o apoio técnico do INPI ao Ministério do Desenvolvimento, Indústria, Comércio e Serviços e a outras instituições do Governo Federal nas negociações da agenda de propriedade intelectual, no âmbito dos acordos de livre comércio; e
IX - articular ações para fortalecer a inserção internacional do INPI."
Divisão de Relações Bilaterais;DIRBI;"I - propor e elaborar estudos técnicos para subsidiar a Alta Administração;
II - promover, em articulação com as diversas áreas do INPI, a contribuição da Autarquia à posição do Brasil em temas de propriedade intelectual discutidos em suas relações bilaterais, além de apoiar a representação do INPI nesses foros;
III - elaborar a agenda internacional do Presidente e dos Diretores do INPI, assim como de outros participantes, por determinação do Alta Administração, e assessorá-los no que se refere aos assuntos internacionais de caráter bilateral; e
IV - implementar, acompanhar e fiscalizar acordos de cooperação técnica entre o INPI e instituições congêneres em outros países, instrumentos de intercâmbio de caráter bilateral, seus respectivos planos de trabalho e outras atividades relativas aos temas de propriedade intelectual que lhe forem atribuídas para suporte à cooperação internacional."
Divisão de Relações Multilaterais;DIREM;"I - propor e elaborar estudos técnicos para subsidiar a Alta Administração;
II - promover, em articulação com as diversas áreas do INPI, a contribuição da Autarquia à posição do Brasil em temas de propriedade intelectual discutidos em foros multilaterais, além de apoiara representação do INPI nesses foros;
III - elaborar a agenda internacional do Presidente e dos Diretores do INPI, assim como de outros participantes, por determinação do Alta Administração, e assessorá-los no que se refere aos assuntos internacionais de caráter multilateral; e
IV - implementar, acompanhar e fiscalizar acordos de cooperação técnica e instrumentos congêneres com organismos multilaterais, seus respectivos planos de trabalho e outras atividades relativas aos temas de propriedade intelectual que lhe forem atribuídas para suporte à cooperação internacional."
Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;CGREC;"I - examinar e fornecer subsídios técnicos para decisão do Presidente do INPI nos recursos e processos administrativos de nulidade, interpostos na forma da legislação vigente de propriedade industrial, e emitir parecer sobre a matéria técnica suscitada;
II - examinar e fornecer subsídios técnicos para decisão do Presidente do INPI nos recursos que digam respeito à propriedade intelectual cuja competência do registro seja atribuída ao INPI por força de lei;
III - orientar e coordenar a sistematização, a organização e a atualização das decisões administrativas relativas à propriedade industrial e intelectual, buscando consolidar jurisprudência administrativa da matéria; e
IV - propor o aperfeiçoamento das diretrizes e dos procedimentos de exame de recursos e processos administrativos de nulidade, interpostos na forma da legislação vigente de propriedade industrial e intelectual."
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Marcas;COREM;"I - examinar e instruir tecnicamente os recursos e processos administrativos de nulidade de registros de marcas, interpostos na forma da legislação vigente de propriedade industrial e emitir parecer sobre a matéria técnica suscitada, com vistas a fornecer os subsídios necessários para a decisão do Presidente do INPI;
II - manifestar-se, tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, com vistas a instruir ações judiciais;
III - examinar os pedidos de desistências, formular exigência se praticar os demais atos administrativos necessários à execução de suas atribuições;
IV - participar da aplicação de projetos, de acordos e tratados que digam respeito à matéria de sua competência e dos estudos de aperfeiçoamento das diretrizes e procedimentos de exame de recursos e processos administrativos de nulidade;
V - participar do aperfeiçoamento das rotinas, desenvolver padrões operacionais para a execução de suas atividades e propor o aperfeiçoamento dos sistemas informatizados próprios das Diretorias técnicas, no que diz respeito à competência da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
VI - participar das ações institucionais de treinamento e disseminação em matéria de sua competência; e
VII - auxiliar a Divisão de Apoio de Recursos e Processos Administrativos de Nulidade em suas atribuições regimentais, sempre que solicitado pelo Coordenador-Geral."
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Patentes;COREP;"I - examinar e instruir tecnicamente os recursos e processos administrativos de nulidade de patentes, interpostos na forma da legislação vigente de propriedade industrial e emitir parecer sobre a matéria técnica suscitada, com vistas a fornecer os subsídios necessários para a decisão do Presidente do INPI;
II - manifestar-se, tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, com vistas a instruir ações judiciais;
III - examinar os pedidos de desistências, formular exigência se praticar os demais atos administrativos necessários à execução de suas atribuições;
IV - participar da aplicação de projetos, de acordos e tratados que digam respeito à matéria de sua competência e dos estudos de aperfeiçoamento das diretrizes e procedimentos de exame de recursos e processos administrativos de nulidade;
V - participar do aperfeiçoamento das rotinas, desenvolver padrões operacionais para a execução de suas atividades e propor o aperfeiçoamento dos sistemas informatizados próprios das Diretorias técnicas, no que diz respeito à competência da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
VI - participar das ações institucionais de treinamento e disseminação em matéria de sua competência; e
VII - auxiliar a Divisão de Apoio de Recursos e Processos Administrativos de Nulidade em suas atribuições regimentais, sempre que solicitado pelo Coordenador-Geral."
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Desenho Industrial, Contratos e Outros Registros;CORED;"I - examinar e instruir tecnicamente os recursos e processos administrativos de nulidade de registros de desenhos industriais, interpostos na forma da legislação vigente de propriedade industrial e emitir parecer sobre a matéria técnica suscitada, com vistas a fornecer os subsídios necessários para a decisão do Presidente do INPI;
II - examinar, instruir e fornecer subsídios técnicos para decisão do Presidente do INPI nos demais recursos em matéria de propriedade intelectual, cuja competência de registro seja atribuída ao INPI;
III - manifestar-se, tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, com vistas a instruir ações judiciais;
IV - examinar os pedidos de desistências, formular exigência se praticar os demais atos administrativos necessários à execução de suas atribuições;
V - participar da aplicação de projetos, de acordos e tratados que digam respeito à matéria de sua competência e dos estudos de aperfeiçoamento das diretrizes e procedimentos de exame de recursos e processos administrativos de nulidade;
VI - participar do aperfeiçoamento das rotinas, desenvolver padrões operacionais para a execução de suas atividades e propor o aperfeiçoamento dos sistemas informatizados próprios das Diretorias técnicas, no que diz respeito à competência da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
VII - participar das ações institucionais de treinamento e disseminação em matéria de sua competência; e
VIII - auxiliar a Divisão de Apoio de Recursos e Processos Administrativos de Nulidade em suas atribuições regimentais, sempre que solicitado pelo Coordenador-Geral."
Divisão de Apoio de Recursos e Processos Administrativos de Nulidade;DAREC;"I - controlar prazos, promover as publicações e notiﬁcações relativas aos recursos interpostos e aos processos administrativos de nulidade requeridos, formular exigências e praticar os demais atos administrativos necessários à execução de suas atribuições;
II - decidir os pedidos de restituição de retribuição e os requerimentos de concessão de prazo adicional para a prática de atos relacionados às competências da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
III - supervisionar e controlar a movimentação e distribuição dos processos, documentos e petições relacionadas às competências da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
IV - atualizar os dados processuais e de localização de processos e de petições, no sistema informatizado das Diretorias técnicas, relativos aos atos e competências da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
V - promover a publicação das decisões dos recursos e dos processos administrativos de nulidade proferidas pelo Presidente do INPI, bem como dos demais atos e despachos emitidos, segundo as competências atribuídas à Coordenação-Geral de Recursos e Processos Administrativos de Nulidade; e
VI - participar dos estudos, dos treinamentos e da elaboração de estatísticas referentes às atividades da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade."
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - I;SAREC-I;"I - realizar o exame prévio de admissibilidade de recursos, de processos administrativos de nulidades e demais petições afetas às Coordenações Técnicas de Recursos e Processos Administrativos de Nulidade;
II - participar do controle de prazos, da promoção de publicações se notiﬁcações relativas aos recursos interpostos e aos processos administrativos de nulidade requeridos, propor formulação de exigências e praticar os demais atos administrativos necessários à execução de suas atribuições;
III - examinar os pedidos de restituição de retribuição e os requerimentos de concessão de prazo adicional para a prática de atos relacionados às competências das Coordenações Técnicas de Recurso se Processos Administrativos de Nulidade;
IV - participar dos estudos, dos treinamentos e da elaboração de estatísticas referentes às atividades das Coordenações Técnicas de Recursos e Processos Administrativos de Nulidade; e
V - atualizar os dados processuais e cadastrais de processos e de petições, no sistema informatizado das Diretorias técnicas, relativos aos atos e competências das Coordenações Técnicas de Recursos e Processos Administrativos de Nulidade."
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - II;SAREC-II;"I - realizar o exame prévio de admissibilidade de recursos, de processos administrativos de nulidades e demais petições afetas às Coordenações Técnicas de Recursos e Processos Administrativos de Nulidade;
II - participar do controle de prazos, da promoção de publicações se notiﬁcações relativas aos recursos interpostos e aos processos administrativos de nulidade requeridos, propor formulação de exigências e praticar os demais atos administrativos necessários à execução de suas atribuições;
III - examinar os pedidos de restituição de retribuição e os requerimentos de concessão de prazo adicional para a prática de atos relacionados às competências das Coordenações Técnicas de Recurso se Processos Administrativos de Nulidade;
IV - participar dos estudos, dos treinamentos e da elaboração de estatísticas referentes às atividades das Coordenações Técnicas de Recursos e Processos Administrativos de Nulidade; e
V - atualizar os dados processuais e cadastrais de processos e de petições, no sistema informatizado das Diretorias técnicas, relativos aos atos e competências das Coordenações Técnicas de Recursos e Processos Administrativos de Nulidade."
Divisão de Governança Setorial de Recursos e Processos Administrativos de Nulidade;DIGOV-CGREC;"I - elaborar estatísticas e indicadores de desempenho referentes às atividades da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
II - atuar como ponto focal da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade no relacionamento institucional com outras Unidades do INPI;
III - participar da elaboração de notas técnicas, projetos e iniciativas relativas à atuação da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade, sempre que solicitado pelo Coordenador-Geral;
IV - acompanhar o desenvolvimento e a implementação de projetos e iniciativas oriundas do Gabinete da Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
V - participar do processo de sistematização, organização e atualização das decisões administrativas de segunda instância, auxiliando na consolidação da jurisprudência administrativa; e
VI - elaborar relatórios e apresentações para a Coordenação-Geral de Recursos e Processos Administrativos de Nulidade e para as Coordenações Técnicas de Recursos e Processos Administrativos de Nulidade a ela vinculadas, mediante solicitação dos respectivos gestores."
Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação;CGDI;"I - criar, manter e aperfeiçoar meios para promover maior participação de brasileiros nos sistemas de proteção da propriedade intelectual, e disseminar a missão e projetos estratégicos do INPI junto à sociedade brasileira;
II - opinar sobre a conveniência da assinatura ou da denúncia de convênios e acordos envolvendo as atividades de cooperação em âmbito nacional e relacionadas à operação das unidades regionais;
III - prestar informações aos usuários para melhor utilização do sistema de propriedade industrial;
IV - coordenar as atividades das unidades regionais do INPI (Escritórios de Difusão Regional e Seções de Difusão Regional), da Coordenação de Relações Institucionais - DF e da Coordenação de Relações Institucionais - SP;
V - organizar, por meio de parcerias, o atendimento do INPI às necessidades e demandas das micro, pequenas e médias empresas; e
VI - coordenar a execução de outras atividades ﬁnalísticas quando realizadas por suas unidades subordinadas."
Coordenação de Articulação e Fomento à Propriedade Intelectual e Inovação;COART;"I - propor e coordenar as atividades de cooperação institucional com os diversos atores do Sistema Nacional de Inovação, com vistas a estabelecer um crescente entendimento sobre o sistema de propriedade intelectual;
II - subsidiar a Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação com dados e informações para que esta opine, perante as instâncias responsáveis pela execução, sobre a conveniência da assinatura ou da denúncia de convênios, acordos e termos de cessão de uso de espaço físico relacionados à operação das unidades regionais do INPI;
III - propor ações e coordenar as atividades de disseminação em propriedade intelectual e inovação na sede e nas unidades regionais do INPI;
IV - criar, desenvolver e implementar ações para gestão do conhecimento produzido no âmbito da Coordenação de Articulação e Fomento à Propriedade Intelectual e Inovação;
V - planejar e estruturar ações e programas orientados à conscientização e disseminação de conhecimentos do uso estratégico do sistema de propriedade industrial em favor da inovação e competitividade do ecossistema nacional; e
VI - desenvolver novos conteúdos para modernização da disseminação da propriedade intelectual executada pela equipe da Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação."
Escritórios de Difusão Regional;EDIR;"I - fomentar e realizar atividades de disseminação e promoção da cultura e do uso estratégico da propriedade industrial em âmbito regional;
II - propor, acompanhar e coordenar parcerias a ﬁm de promover um crescente entendimento do sistema de propriedade intelectual em âmbito regional;
III - promover a aproximação e a articulação entre o INPI e os atores dos sistemas locais de inovação em âmbito regional;
IV - orientar usuários do INPI sobre a legislação e as normas que regulam os direitos e obrigações relativas à propriedade industrial em âmbito regional;
V - propor e acompanhar as ações necessárias ao andamento das atividades dos Escritórios de Difusão Regional e das Seções de Difusão Regional subordinadas;
VI - acompanhar a ﬁscalização de contratos administrativos executados nas dependências dos Escritórios de Difusão Regional e das Seções de Difusão Regional subordinadas;
VII - implementar ações para gestão do conhecimento produzido no âmbito dos Escritórios de Difusão Regional e das Seções de Difusão Regional subordinadas; e
VIII - coordenar a execução de atividades de exame quando realizadas nos Escritórios de Difusão Regional e nas Seções de Difusão Regional subordinadas."
Seções de Difusão Regional;SEDIR;"I - participar das atividades de disseminação e promoção da cultura e do uso estratégico da propriedade industrial;
II - acompanhar o desempenho das parcerias nas regiões compreendidas nas suas áreas de atuação;
III - promover a aproximação e a articulação entre o INPI e os atores dos sistemas locais de inovação;
IV - orientar usuários do INPI sobre a legislação e as normas que regulam os direitos e obrigações relativas à propriedade industrial; e
V - ﬁscalizar contratos administrativos executados nas dependências das Seções de Difusão Regional."
Seções de Apoio à Difusão Regional;SADIR;I - dar assistência à execução das atividades dos Escritórios de Difusão Regional.
Coordenação de Relações Institucionais - DF;COINS-DF;"I - acompanhar as iniciativas e os posicionamentos e informar sobre a tramitação legislativa dos projetos de interesse do INPI, observadas as competências dos órgãos superiores;
II - promover a aproximação e a articulação com instituições governamentais e a sociedade em geral no Distrito Federal;
III - assessorar o Presidente do INPI no desempenho de suas funções no Distrito Federal;
IV - fomentar e realizar atividades de disseminação e promoção da cultura e do uso estratégico da propriedade industrial no Distrito Federal;
V - propor, acompanhar e coordenar parcerias a ﬁm de promover um crescente entendimento do sistema de propriedade intelectual no Distrito Federal;
VI - promover a aproximação e a articulação entre o INPI e os atores dos sistemas locais de inovação no Distrito Federal;
VII - orientar usuários do INPI sobre a legislação e as normas que regulam os direitos e obrigações relativas à propriedade industrial no Distrito Federal;
VIII - acompanhar a ﬁscalização de contratos administrativos executados nas dependências da Coordenação de Relações Institucionais - DF;
IX - implementar ações para gestão do conhecimento produzido no âmbito da Coordenação de Relações Institucionais - DF; e
X - coordenar a execução de atividades de exame quando realizadas na Coordenação de Relações Institucionais - DF."
Seção de Apoio de Relações Institucionais - DF;SAINS-DF;I - dar assistência à execução das atividades da Coordenação de Relações Institucionais – DF.
Coordenação de Relações Institucionais - SP;COINS-SP;"I - acompanhar as iniciativas e os posicionamentos e promover a interlocução junto ao movimento empresarial pela inovação em assuntos de interesse do INPI;
II - promover a aproximação e a articulação entre o INPI, o setor empresarial e suas organizações representativas bem como a sociedade em geral no estado de São Paulo;
III - assessorar o Presidente do INPI no desempenho de suas funções no estado de São Paulo;
IV - fomentar e realizar atividades de disseminação e promoção da cultura e do uso estratégico da propriedade industrial no estado de São Paulo;
V - propor, acompanhar e coordenar parcerias a ﬁm de promover um crescente entendimento do sistema de propriedade intelectual no estado de São Paulo;
VI - promover a aproximação e a articulação entre o INPI e os atores dos sistemas locais de inovação no estado de São Paulo;
VII - orientar usuários do INPI sobre a legislação e as normas que regulam os direitos e obrigações relativas à propriedade industrial no estado de São Paulo;
VIII - acompanhar a ﬁscalização de contratos administrativos executados nas dependências da Coordenação de Relações Institucionais - SP;
IX - implementar ações para gestão do conhecimento produzido no âmbito da Coordenação de Relações Institucionais - SP; e
X - coordenar a execução de atividades de exame quando realizadas na Coordenação de Relações Institucionais - SP."
Seção de Apoio de Relações Institucionais - SP;SAINS-SP;I - dar assistência à execução das atividades da Coordenação de Relações Institucionais – SP.
