Unidade;Sigla;Conhecimento;Relevancia (Score);Ordem;Tipo_de_Conhecimento;Grau_Conhecimento_Instalado
Divisão de Gestão de Riscos;DIGER;Administração Pública > Governança e Gestão de Riscos > Administração;41.38%;3;Essencial;1
Divisão de Gestão de Riscos;DIGER;Administração Pública > Governança e Gestão de Riscos > Introdução à Gestão de Projetos;40.07%;4;Essencial;1
Divisão de Gestão de Riscos;DIGER;Administração Pública > Governança e Gestão de Riscos > Implementação da Governança;36.44%;5;Apoio;1
Divisão de Escritório de Processos e Qualidade;DIGEQ;Administração Pública > Avaliação de Desempenho no Setor Público > Gerenciamento do Desempenho de Processos;40.73%;1;Apoio;1
Divisão de Escritório de Processos e Qualidade;DIGEQ;Administração Pública > Estratégia, Projetos e Processos > Gestão de Processos;33.67%;2;Essencial;1
Divisão de Escritório de Processos e Qualidade;DIGEQ;Administração Pública > Estratégia, Projetos e Processos > Indicadores de Desempenho;26.18%;3;Essencial;1
Divisão de Escritório de Processos e Qualidade;DIGEQ;Administração Pública > Produtividade > Gestão de Processos;25.57%;4;Apoio;1
Divisão de Escritório de Processos e Qualidade;DIGEQ;Administração Pública > Estratégia, Projetos e Processos > Planos de Amostragem e Procedimentos na Inspeção de Atributos;25.37%;5;Apoio;1
Coordenação-Geral de Economia e Inovação;CGEI;Economia > Métodos Quantitativos em Economia > Modelagem Econométrica;30.78%;1;Apoio;3
Coordenação-Geral de Economia e Inovação;CGEI;Ciência Política > Uso de evidências em políticas públicas > Resolução de Problemas com Base em Dados;27.09%;2;Apoio;3
Coordenação-Geral de Economia e Inovação;CGEI;Administração Pública > Comunicação Institucional > Escrita Gerencial;26.50%;3;Apoio;1
Coordenação-Geral de Economia e Inovação;CGEI;Administração > Administração de Empresas > Propriedade Industrial e Inovação;23.84%;4;Crítico;1
Coordenação-Geral de Economia e Inovação;CGEI;Administração Pública > Inovação > Transferência de Tecnologia e Propriedade Industrial;22.04%;5;Crítico;1
Divisão de Análise Econômica;DIECO;Administração > Administração de Empresas > Propriedade Industrial e Inovação;37.25%;1;Crítico;1
Divisão de Análise Econômica;DIECO;Administração Pública > Inovação > Transferência de Tecnologia e Propriedade Industrial;31.99%;2;Crítico;1
Divisão de Análise Econômica;DIECO;Administração Pública > Atendimento ao Público > Propriedade Industrial;31.95%;3;Crítico;1
Divisão de Análise Econômica;DIECO;Administração Pública > Inovação > Propriedade Industrial e Inovação;29.06%;4;Crítico;1
Divisão de Análise Econômica;DIECO;Administração Pública > Gestão de Pessoas > Eficiência no Processo de Comunicação;24.46%;5;Essencial;1
Divisão de Inteligência de Mercado e Preços;DIIMP;Administração Pública > Gestão de Pessoas > Gestão de Ativos;25.62%;1;Essencial;1
Divisão de Inteligência de Mercado e Preços;DIIMP;Administração Pública > Gestão de Pessoas > Gestão para Resultados;24.73%;2;Essencial;1
Divisão de Inteligência de Mercado e Preços;DIIMP;Administração Pública > Gestão de Pessoas > Gestão de Projetos;24.54%;3;Essencial;1
Divisão de Inteligência de Mercado e Preços;DIIMP;Administração Pública > Gestão de Pessoas > Eficiência no Processo de Comunicação;24.43%;4;Essencial;1
Divisão de Inteligência de Mercado e Preços;DIIMP;Administração Pública > Gestão de Pessoas > Ferramentas de Gestão de Pessoas e Equipes;23.74%;5;Essencial;1
Divisão de Estudos em Propriedade Industrial e Inovação;DEPIN;Administração Pública > Inovação > PI e Inovação;34.73%;1;Apoio;1
Divisão de Estudos em Propriedade Industrial e Inovação;DEPIN;Ciência Política > Uso de evidências em políticas públicas > Resolução de Problemas com Base em Dados;32.54%;2;Apoio;1
Divisão de Estudos em Propriedade Industrial e Inovação;DEPIN;Ciência Política > Uso de evidências em políticas públicas > Atuação em Rede;27.34%;3;Apoio;1
Divisão de Estudos em Propriedade Industrial e Inovação;DEPIN;Administração Pública > Inovação > Sistema de PI no Brasil e no Mundo;26.69%;4;Apoio;1
Divisão de Estudos em Propriedade Industrial e Inovação;DEPIN;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;25.71%;5;Apoio;1
Coordenação de Relações Internacionais;COINT;Administração Pública > Atendimento ao Público > Propriedade Intelectual;31.67%;1;Apoio;1
Coordenação de Relações Internacionais;COINT;Ciência Política > Uso de evidências em políticas públicas > Resolução de Problemas com Base em Dados;26.37%;2;Apoio;1
Coordenação de Relações Internacionais;COINT;Administração Pública > Inovação > Propriedade Intelectual;26.12%;3;Crítico;1
Coordenação de Relações Internacionais;COINT;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;23.77%;4;Apoio;1
Coordenação de Relações Internacionais;COINT;Administração Pública > Auditoria > Técnicas de Auditoria sobre a Folha de Pagamento no Âmbito do Serviço Público Federal;23.57%;5;Apoio;1
Divisão de Relações Bilaterais;DIRBI;Administração Pública > Cooperação Internacional > Técnicas de Negociação;32.23%;1;Apoio;1
Divisão de Relações Bilaterais;DIRBI;Administração Pública > Inovação > Propriedade Intelectual;27.38%;2;Crítico;1
Divisão de Relações Bilaterais;DIRBI;Administração Pública > Relações de Trabalho no Setor Público > Trabalho em Equipe;24.06%;3;Apoio;1
Divisão de Relações Bilaterais;DIRBI;Administração Pública > Atendimento ao Público > Propriedade Intelectual;23.74%;4;Apoio;1
Divisão de Relações Bilaterais;DIRBI;Administração Pública > Gestão de Pessoas > Segurança e Saúde do Trabalho;21.73%;5;Essencial;1
Divisão de Relações Multilaterais;DIREM;Administração Pública > Cooperação Internacional > Técnicas de Negociação;33.79%;1;Apoio;1
Divisão de Relações Multilaterais;DIREM;Administração Pública > Inovação > Propriedade Intelectual;29.42%;2;Crítico;1
Divisão de Relações Multilaterais;DIREM;Administração Pública > Atendimento ao Público > Propriedade Intelectual;25.51%;3;Apoio;1
Divisão de Relações Multilaterais;DIREM;Administração Pública > Gestão de Pessoas > Segurança e Saúde do Trabalho;22.45%;4;Essencial;1
Divisão de Relações Multilaterais;DIREM;Direito > Direito Público > Direitos de Propriedade Intelectual;22.13%;5;Apoio;1
Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;CGREC;Engenharia de Materiais e Metalúrgica > Metalurgia de Transformação > Tomada de Decisão;19.78%;1;Apoio;1
Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;CGREC;Engenharia Mecânica > Processos de Fabricação > Fabricação de Artigos de Papel, Papelão ou Material Trabalhado de Forma Análoga ao Papel;16.69%;2;Apoio;1
Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;CGREC;Engenharia Mecânica > Processos de Fabricação > Processamento do Papel, Papelão ou Material Trabalhado de Forma Análoga ao Papel;16.18%;3;Apoio;1
Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;CGREC;Linguística > Linguística Aplicada > Linguística Aplicada ao Exame de Pedidos de Registro de Marcas;15.92%;4;Apoio;3
Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;CGREC;Recursos Pesqueiros e Engenharia de Pesca > Engenharia de Pesca > Captura em Armadilhas;15.25%;5;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Marcas;COREM;Engenharia Mecânica > Processos de Fabricação > Processos de Combustão;22.85%;1;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Marcas;COREM;Engenharia Mecânica > Processos de Fabricação > Sistemas de Bombas de Calefação;21.92%;2;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Marcas;COREM;Engenharia de Materiais e Metalúrgica > Metalurgia de Transformação > Tomada de Decisão;19.80%;3;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Marcas;COREM;Engenharia Química > Processos Industriais de Engenharia Química > Processos de Separação;19.13%;4;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Marcas;COREM;Engenharia Mecânica > Projetos de Máquinas > Instalações de Motores em Geral;19.07%;5;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Patentes;COREP;Engenharia Mecânica > Processos de Fabricação > Processos de Combustão;22.44%;1;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Patentes;COREP;Engenharia Mecânica > Processos de Fabricação > Sistemas de Bombas de Calefação;21.35%;2;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Patentes;COREP;Engenharia de Materiais e Metalúrgica > Metalurgia de Transformação > Tomada de Decisão;19.23%;3;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Patentes;COREP;Engenharia Química > Processos Industriais de Engenharia Química > Processos de Separação;18.79%;4;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Patentes;COREP;Engenharia Mecânica > Processos de Fabricação > Sua Fabricação;18.76%;5;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Desenho Industrial, Contratos e Outros Registros;CORED;Engenharia de Materiais e Metalúrgica > Metalurgia de Transformação > Tomada de Decisão;23.38%;1;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Desenho Industrial, Contratos e Outros Registros;CORED;Engenharia Mecânica > Processos de Fabricação > Processos de Combustão;21.80%;2;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Desenho Industrial, Contratos e Outros Registros;CORED;Engenharia Mecânica > Processos de Fabricação > Sistemas de Bombas de Calefação;21.25%;3;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Desenho Industrial, Contratos e Outros Registros;CORED;Engenharia Química > Processos Industriais de Engenharia Química > Processos de Separação;20.50%;4;Apoio;1
Coordenação Técnica de Recursos e Processos Administrativos de Nulidade de Desenho Industrial, Contratos e Outros Registros;CORED;Engenharia Mecânica > Projetos de Máquinas > Instalações de Motores em Geral;19.73%;5;Apoio;1
Divisão de Apoio de Recursos e Processos Administrativos de Nulidade;DAREC;Engenharia Mecânica > Processos de Fabricação > Processos de Combustão;27.36%;1;Apoio;1
Divisão de Apoio de Recursos e Processos Administrativos de Nulidade;DAREC;Engenharia Química > Processos Industriais de Engenharia Química > Processos de Separação;22.91%;2;Apoio;1
Divisão de Apoio de Recursos e Processos Administrativos de Nulidade;DAREC;Biologia Geral > Biologia Geral > Processos de Obtenção de Produtos Naturais;20.50%;3;Apoio;1
Divisão de Apoio de Recursos e Processos Administrativos de Nulidade;DAREC;Engenharia Mecânica > Processos de Fabricação > Sistemas de Bombas de Calefação;19.71%;4;Apoio;1
Divisão de Apoio de Recursos e Processos Administrativos de Nulidade;DAREC;Engenharia Mecânica > Processos de Fabricação > Máquinas ou Motores em Geral;19.21%;5;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - I;SAREC-I;Engenharia Mecânica > Processos de Fabricação > Processos de Combustão;30.13%;1;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - I;SAREC-I;Engenharia Química > Processos Industriais de Engenharia Química > Processos de Separação;25.23%;2;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - I;SAREC-I;Engenharia Mecânica > Processos de Fabricação > Sistemas de Bombas de Calefação;24.01%;3;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - I;SAREC-I;Engenharia Mecânica > Processos de Fabricação > Aparelhos de Combustão;21.81%;4;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - I;SAREC-I;Engenharia Química > Processos Industriais de Engenharia Química > Eletroquímica Avançada e em Processos de Separação;20.40%;5;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - II;SAREC-II;Engenharia Mecânica > Processos de Fabricação > Processos de Combustão;30.13%;1;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - II;SAREC-II;Engenharia Química > Processos Industriais de Engenharia Química > Processos de Separação;25.23%;2;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - II;SAREC-II;Engenharia Mecânica > Processos de Fabricação > Sistemas de Bombas de Calefação;24.01%;3;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - II;SAREC-II;Engenharia Mecânica > Processos de Fabricação > Aparelhos de Combustão;21.81%;4;Apoio;1
Seção de Apoio de Recursos e Processos Administrativos de Nulidade - II;SAREC-II;Engenharia Química > Processos Industriais de Engenharia Química > Eletroquímica Avançada e em Processos de Separação;20.40%;5;Apoio;1
Divisão de Governança Setorial de Recursos e Processos Administrativos de Nulidade;DIGOV-CGREC;Engenharia Mecânica > Processos de Fabricação > Processos de Combustão;24.32%;1;Apoio;1
Divisão de Governança Setorial de Recursos e Processos Administrativos de Nulidade;DIGOV-CGREC;Biologia Geral > Biologia Geral > Processos de Obtenção de Produtos Naturais;23.66%;2;Apoio;1
Divisão de Governança Setorial de Recursos e Processos Administrativos de Nulidade;DIGOV-CGREC;Engenharia Mecânica > Processos de Fabricação > Máquinas ou Motores em Geral;20.82%;3;Apoio;1
Divisão de Governança Setorial de Recursos e Processos Administrativos de Nulidade;DIGOV-CGREC;Engenharia Química > Processos Industriais de Engenharia Química > Processos de Separação;20.36%;4;Apoio;1
Divisão de Governança Setorial de Recursos e Processos Administrativos de Nulidade;DIGOV-CGREC;Engenharia Mecânica > Projetos de Máquinas > Instalações de Motores em Geral;20.06%;5;Apoio;1
Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação;CGDI;Administração Pública > Inovação > Sistema de PI no Brasil e no Mundo;39.13%;1;Apoio;1
Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação;CGDI;Administração Pública > Inovação > Gestão da Inovação no Setor Público;27.95%;2;Apoio;3
Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação;CGDI;Administração Pública > Estratégia, Projetos e Processos > Técnicas de Gerência do Tempo de Trabalho;26.15%;3;Essencial;1
Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação;CGDI;Administração Pública > Inovação > PI e Inovação;25.43%;4;Apoio;3
Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação;CGDI;Ciência Política > Uso de evidências em políticas públicas > Resolução de Problemas com Base em Dados;25.02%;5;Apoio;3
Coordenação de Articulação e Fomento à Propriedade Intelectual e Inovação;COART;Administração Pública > Inovação > Propriedade Intelectual;54.63%;1;Crítico;1
Coordenação de Articulação e Fomento à Propriedade Intelectual e Inovação;COART;Administração Pública > Inovação > Propriedade Industrial e Inovação;49.38%;2;Crítico;1
Coordenação de Articulação e Fomento à Propriedade Intelectual e Inovação;COART;Administração Pública > Inovação > Transferência de Tecnologia e Propriedade Industrial;43.23%;3;Crítico;1
Coordenação de Articulação e Fomento à Propriedade Intelectual e Inovação;COART;Administração > Administração de Empresas > Propriedade Industrial e Inovação;42.75%;4;Crítico;1
Coordenação de Articulação e Fomento à Propriedade Intelectual e Inovação;COART;Administração Pública > Inovação > Desenvolvimento da Inovação;39.69%;5;Crítico;1
Escritórios de Difusão Regional;EDIR;Administração Pública > Auditoria > Técnicas de Auditoria sobre a Folha de Pagamento no Âmbito do Serviço Público Federal;22.37%;1;Apoio;1
Escritórios de Difusão Regional;EDIR;Administração Pública > Inovação > Transferência de Tecnologia e Propriedade Industrial;18.72%;2;Crítico;1
Escritórios de Difusão Regional;EDIR;Administração > Administração de Empresas > Propriedade Industrial e Inovação;18.51%;3;Crítico;1
Escritórios de Difusão Regional;EDIR;Administração Pública > Inovação > Propriedade Intelectual;15.96%;4;Crítico;1
Escritórios de Difusão Regional;EDIR;Administração Pública > Inovação > Propriedade Industrial e Inovação;15.82%;5;Crítico;1
Seções de Difusão Regional;SEDIR;Administração Pública > Inovação > Propriedade Industrial e Inovação;30.96%;1;Crítico;1
Seções de Difusão Regional;SEDIR;Administração Pública > Inovação > Transferência de Tecnologia e Propriedade Industrial;30.75%;2;Crítico;1
Seções de Difusão Regional;SEDIR;Administração > Administração de Empresas > Propriedade Industrial e Inovação;30.41%;3;Crítico;1
Seções de Difusão Regional;SEDIR;Economia > Economia Industrial > Papel da Transferência de Tecnologia nas Empresas;27.18%;4;Apoio;1
Seções de Difusão Regional;SEDIR;Economia > Economia Industrial > Transferência de Tecnologia nas Empresas;26.44%;5;Apoio;1
Seções de Apoio à Difusão Regional;SADIR;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;23.87%;1;Apoio;1
Seções de Apoio à Difusão Regional;SADIR;Administração Pública > Combate à Corrupção > Modernização das Contratações Públicas;11.33%;2;Apoio;1
Seções de Apoio à Difusão Regional;SADIR;Administração Pública > Atendimento ao Público > Monitoramento de Avaliação dos Clientes;9.72%;3;Apoio;1
Seções de Apoio à Difusão Regional;SADIR;Ciência Política > Estado e Governo > Regime Jurídico dos Servidores Federais;7.12%;4;Apoio;1
Coordenação de Relações Institucionais - DF;COINS-DF;Administração Pública > Auditoria > Técnicas de Auditoria sobre a Folha de Pagamento no Âmbito do Serviço Público Federal;40.94%;1;Apoio;1
Coordenação de Relações Institucionais - DF;COINS-DF;Administração Pública > Relações de Trabalho no Setor Público > Gestão de Pessoas;33.12%;2;Essencial;1
Coordenação de Relações Institucionais - DF;COINS-DF;Administração Pública > Inovação > Sistema de PI no Brasil e no Mundo;31.94%;3;Apoio;1
Coordenação de Relações Institucionais - DF;COINS-DF;Administração Pública > Relações de Trabalho no Setor Público > Pluralidade e Inclusão no Serviço Público;31.67%;4;Apoio;1
Coordenação de Relações Institucionais - DF;COINS-DF;Administração Pública > Transparência, Controle e Participação > Conflitos de Interesses no Exercício de Cargo ou Emprego do Poder Executivo Federal;31.09%;5;Apoio;1
Seção de Apoio de Relações Institucionais - DF;SAINS-DF;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;25.34%;1;Apoio;1
Seção de Apoio de Relações Institucionais - DF;SAINS-DF;Administração Pública > Relações de Trabalho no Setor Público > Gestão de Pessoas;23.20%;2;Essencial;1
Seção de Apoio de Relações Institucionais - DF;SAINS-DF;Ciência Política > Uso de evidências em políticas públicas > Coordenação e Colaboração em Rede;21.15%;3;Apoio;1
Seção de Apoio de Relações Institucionais - DF;SAINS-DF;Administração Pública > Relações de Trabalho no Setor Público > Puncionamento de Metais;20.23%;4;Apoio;1
Seção de Apoio de Relações Institucionais - DF;SAINS-DF;Administração Pública > Relações de Trabalho no Setor Público > Trabalho em Equipe;17.79%;5;Apoio;1
Coordenação de Relações Institucionais - SP;COINS-SP;Administração Pública > Relações de Trabalho no Setor Público > Gestão de Pessoas;38.05%;1;Essencial;1
Coordenação de Relações Institucionais - SP;COINS-SP;Administração Pública > Inovação > Sistema de PI no Brasil e no Mundo;34.19%;2;Apoio;1
Coordenação de Relações Institucionais - SP;COINS-SP;Administração Pública > Relações de Trabalho no Setor Público > Pluralidade e Inclusão no Serviço Público;33.95%;3;Apoio;1
Coordenação de Relações Institucionais - SP;COINS-SP;Administração Pública > Relações de Trabalho no Setor Público > Puncionamento de Metais;32.23%;4;Apoio;1
Coordenação de Relações Institucionais - SP;COINS-SP;Ciência Política > Estado e Governo > Lei da Propriedade Industrial;31.03%;5;Crítico;1
Seção de Apoio de Relações Institucionais - SP;SAINS-SP;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;25.34%;1;Apoio;1
Seção de Apoio de Relações Institucionais - SP;SAINS-SP;Administração Pública > Relações de Trabalho no Setor Público > Gestão de Pessoas;23.20%;2;Essencial;1
Seção de Apoio de Relações Institucionais - SP;SAINS-SP;Ciência Política > Uso de evidências em políticas públicas > Coordenação e Colaboração em Rede;21.15%;3;Apoio;1
Seção de Apoio de Relações Institucionais - SP;SAINS-SP;Administração Pública > Relações de Trabalho no Setor Público > Puncionamento de Metais;20.23%;4;Apoio;1
Seção de Apoio de Relações Institucionais - SP;SAINS-SP;Administração Pública > Relações de Trabalho no Setor Público > Trabalho em Equipe;17.79%;5;Apoio;1
Divisão de Cooperação Nacional;DICOP;Administração Pública > Cooperação Internacional > Técnicas de Negociação;29.79%;1;Apoio;1
Divisão de Cooperação Nacional;DICOP;Administração Pública > Inovação > Propriedade Industrial e Inovação;21.74%;2;Crítico;1
Divisão de Cooperação Nacional;DICOP;Administração Pública > Inovação > Desenvolvimento da Inovação;21.57%;3;Crítico;1
Divisão de Cooperação Nacional;DICOP;Administração Pública > Inovação > Gestão da Inovação;20.72%;4;Crítico;1
Divisão de Cooperação Nacional;DICOP;Administração Pública > Inovação > Gestão da Inovação no Setor Público;19.79%;5;Apoio;1
Seção de Apoio à Disseminação para Inovação;SEADI;Administração Pública > Inovação > Propriedade Industrial e Inovação;47.92%;1;Crítico;1
Seção de Apoio à Disseminação para Inovação;SEADI;Administração Pública > Inovação > Desenvolvimento da Inovação;45.73%;2;Crítico;1
Seção de Apoio à Disseminação para Inovação;SEADI;Administração Pública > Inovação > Transferência de Tecnologia e Propriedade Industrial;41.11%;3;Crítico;1
Seção de Apoio à Disseminação para Inovação;SEADI;Administração > Administração de Empresas > Propriedade Industrial e Inovação;40.66%;4;Crítico;1
Seção de Apoio à Disseminação para Inovação;SEADI;Administração Pública > Inovação > Gestão da Inovação;35.55%;5;Crítico;1
Coordenação-Geral de Comunicação Social;CGCOM;Ciência Política > Estado e Governo > Manual de Redação da Presidência da República;33.94%;1;Apoio;1
Coordenação-Geral de Comunicação Social;CGCOM;Administração Pública > Comunicação Institucional > Técnicas de Redação;33.30%;2;Apoio;1
Coordenação-Geral de Comunicação Social;CGCOM;Administração Pública > Comunicação Institucional > Espanhol;31.59%;3;Apoio;1
Coordenação-Geral de Comunicação Social;CGCOM;Administração Pública > Comunicação Institucional > Inglês;31.59%;4;Apoio;1
Coordenação-Geral de Comunicação Social;CGCOM;Administração Pública > Comunicação Institucional > Francês;31.59%;5;Apoio;1
Divisão de Comunicação Integrada;DICOM;Administração Pública > Auditoria > Contabilidade Pública com Base em Processos de Execução;25.41%;1;Apoio;1
Divisão de Comunicação Integrada;DICOM;Ciência Política > Uso de evidências em políticas públicas > Resolução de Problemas com Base em Dados;25.39%;2;Apoio;1
Divisão de Comunicação Integrada;DICOM;Direito > Direitos Especiais > Ações Judiciais e Contrafação;20.98%;3;Apoio;1
Divisão de Comunicação Integrada;DICOM;Ciência Política > Uso de evidências em políticas públicas > Coordenação e Colaboração em Rede;20.42%;4;Apoio;1
Divisão de Comunicação Integrada;DICOM;Administração Pública > Gestão de Pessoas > Ferramentas de Comunicação Assíncrona;15.74%;5;Apoio;1
Divisão de Promoção e Eventos;DIPRE;Direito > Direitos Especiais > Ações Judiciais e Contrafação;27.62%;1;Apoio;1
Divisão de Promoção e Eventos;DIPRE;Ciência Política > Uso de evidências em políticas públicas > Coordenação e Colaboração em Rede;24.30%;2;Apoio;1
