Novo;Status;Natureza;Area;Competencia;Instituicao;LogoInstituicao;Tematica;Curso;CH;Link;Modalidade;Nivel;Custo;Publico;Plataforma;Administrador;Objetivo;Imagem;Sigla;Ini-Inscr;Fim-Inscr;Ini-Disp;Fim-Disp;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Patentes;150;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL301PBR#plus_DL301PBR;Com Tutoria;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Explicar os princípios avançados de patentes, o impacto econômico, a transferência de tecnologia e o uso estratégico de documentos de patentes.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-301p-br.png;DL 301P BR;09/01/2025;30/05/2025;08/04/2025;06/07/2025;;
;CONCLUÍDO;Extensão;DIRMA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;MARCAS;Curso Avançado de Marcas, Desenhos Industriais e Indicações Geográficas;150;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL302OPBR#plus_DL302OPBR;Autoinstrucional;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Aprofundar os conhecimentos em Marcas, Desenhos Industriais e IGs, focando em aspectos relacionados ao comércio, concorrência e branding global.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-302op-br.png;DL 302OP BR;09/01/2025;31/03/2025;09/01/2025;31/03/2025;;
;CONCLUÍDO;Extensão;DIRMA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;MARCAS;Curso Avançado de Marcas, Desenhos Industriais e Indicações Geográficas;150;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL302OPBR#plus_DL302OPBR;Autoinstrucional;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Aprofundar os conhecimentos em Marcas, Desenhos Industriais e IGs, focando em aspectos relacionados ao comércio, concorrência e branding global.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-302op-br.png;DL 302OP BR;15/04/2025;30/06/2025;15/04/2025;30/06/2025;;
;CONCLUÍDO;Extensão;DIRMA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;MARCAS;Curso Avançado de Marcas, Desenhos Industriais e Indicações Geográficas;150;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL302PBR#plus_DL302PBR;Com Tutoria;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Aprofundar os conhecimentos em Marcas, Desenhos Industriais e IGs, focando em aspectos relacionados ao comércio, concorrência e branding global.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-302p-br.png;DL 302P BR;09/01/2025;30/05/2025;08/04/2025;06/07/2025;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Busca de Informações de Patentes;180;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL318OPBR#plus_DL318OPBR;Autoinstrucional;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Aprofundar conceitos da busca de informação patentária, apresentando bancos de dados, técnicas e ferramentas avançadas através de atividades práticas.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-318op-br.png;DL 318OP BR;09/01/2025;31/03/2025;09/01/2025;31/03/2025;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Busca de Informações de Patentes;180;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL318OPBR#plus_DL318OPBR;Autoinstrucional;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Aprofundar conceitos da busca de informação patentária, apresentando bancos de dados, técnicas e ferramentas avançadas através de atividades práticas.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-318op-br.png;DL 318OP BR;15/04/2025;30/06/2025;15/04/2025;30/06/2025;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Busca de Informações de Patentes;180;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL318PBR#plus_DL318PBR;Com Tutoria;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Aprofundar conceitos da busca de informação patentária, apresentando bancos de dados, técnicas e ferramentas avançadas através de atividades práticas.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-318p-br.png;DL 318P BR;09/01/2025;30/05/2025;08/04/2025;06/07/2025;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Noções Básicas de Redação de Patentes;180;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL320OPBR#plus_DL320OPBR;Autoinstrucional;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Introduzir os conceitos básicos da redação de um pedido de patente, com ênfase nas estratégias de busca, estrutura do pedido e estudos de caso.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-320op-br.png;DL 320OP BR;09/01/2025;31/03/2025;09/01/2025;31/03/2025;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Noções Básicas de Redação de Patentes;180;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL320OPBR#plus_DL320OPBR;Autoinstrucional;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Introduzir os conceitos básicos da redação de um pedido de patente, com ênfase nas estratégias de busca, estrutura do pedido e estudos de caso.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-320op-br.png;DL 320OP BR;15/04/2025;30/06/2025;15/04/2025;30/06/2025;;
;CONCLUÍDO;Extensão;DIRPA;;WIPO;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/World_Intellectual_Property_Organization_Logo.svg/2560px-World_Intellectual_Property_Organization_Logo.svg.png;PATENTES;Curso Avançado de Noções Básicas de Redação de Patentes;180;https://welc.wipo.int/acc/index.jsf?page=courseCatalog.xhtml&lang=pt&cc=DL320PBR#plus_DL320PBR;Com Tutoria;Avançado;US$40 estudantes US$60 profissionais;Profissionais de PI e Inovação;Centro de eLearning da OMPI;ead@inpi.gov.br;Introduzir os conceitos básicos da redação de um pedido de patente, com ênfase nas estratégias de busca, estrutura do pedido e estudos de caso.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/dl-320p-br.png;DL 320P BR;09/01/2025;30/05/2025;08/04/2025;06/07/2025;;
;EM BREVE;Extensão;DIRMA;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;INDICAÇÕES GEOGRÁFICAS;Curso de Indicações Geográficas e Marcas Coletivas;20;;Autoinstrucional;Intermediário;Gratuito;Cooperados | Empreendedores | Gestores de PI;Academia Virtual do INPI;cursos.igmc@inpi.gov.br;Capacitar na identificação de indicações geográficas e marcas coletivas, diferenciando seus conceitos e aplicações práticas em registros.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/igmc.png;IGMC;;;;;;
;EM BREVE;Extensão;DIRPA;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;PATENTES;Oficina de PCT;15;;Autoinstrucional;Intermediário;Gratuito;Profissionais de PI e Inovação;Academia Virtual do INPI;oficinas@inpi.gov.dl 301;Apresentar o sistema PCT, identificando as fases internacional e nacional, o papel do Brasil e as etapas para o depósito de um pedido internacional.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/pct.png;PCT;;;;;;
;EM BREVE;Extensão;DIRPA;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;PROGRAMAS DE COMPUTADOR;Software: Como e Por Que Registrar;8;;Autoinstrucional;Iniciante;Gratuito;Profissionais de TIC | Empreendedores;Academia Virtual do INPI;cursos@inpi.gov.br;Capacitar os participantes a registrar um software no INPI de forma online e simplificada, por meio do sistema eletrônico e-Software.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/software.png;SOFTWARE;;;;;;
;EM BREVE;Extensão;ACAD;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;PROPRIEDADE INTELECTUAL;Introdução à PI para Professores da Educação Básica;50;;Autoinstrucional;Iniciante;Gratuito;Professores | Educadores;Academia Virtual do INPI;upiprof@inpi.gov.br;Apresentar temas de propriedade intelectual com foco no ensino da matéria para estudantes do Ensino Fundamental e Médio.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/upiprof.png;UPIPROF;;;;;;
;EM BREVE;Extensão;CGDI;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;PROPRIEDADE INTELECTUAL;Uso da Propriedade Intelectual nos Negócios de Base Tecnológica;20;https://academiavirtual.inpi.gov.br/moodle/course/view.php?id=325;Autoinstrucional;Intermediário;Gratuito;Empreendedores | Gestores de PI | NITs;Academia Virtual do INPI;cursos.upitec@inpi.gov.br;Capacitar profissionais de empresas e ICTs na temática da PI, em especial patentes, para negócios de base tecnológica e como pré-requisito para mentorias.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/upitec.png;UPITEC;;;;;;
;EM BREVE;Extensão;ACAD;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;PROPRIEDADE INTELECTUAL;Uso da Propriedade Intelectual em Negócios de Base Tradicional;12;https://academiavirtual.inpi.gov.br/moodle/course/view.php?id=330;Autoinstrucional;Iniciante;Gratuito;Empreendedores | Gestores de PI;Academia Virtual do INPI;cursos.upitrad@inpi.gov.br;Apresentar os princípios de PI (IGs, Marcas e Patentes) e oferecer subsídios para a busca de informação tecnológica em documentos de patente.;https://www.gov.br/inpi/pt-br/servicos/a-academia/solucoes-de-ensino/arquivos/imagens/di.png;UPITRAD;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/comunicacao/marca-do-inpi/logo_inpi_azul_fundo_transparente.png;MARCAS;Base de Conhecimento para Mentores em Marcas;15;https://academiavirtual.inpi.gov.br/moodle/course/view.php?id=120;Autoinstrucional;Avançado;Gratuito;Mentores em PI | Servidores do INPI;Academia Virtual do INPI;cursos@inpi.gov.br;Prover acesso à base de conhecimento para mentores na área de marcas, composta de instruções, roteiros e recursos para a mentoria em marcas.;;MENTOR_MARCA;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;A PRÁTICA SISTÊMICA DO GERENTE DE ALTO DESEMPENHO;18;https://suap.enap.gov.br/vitrine/curso/2649/;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGDI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;A PRÁTICA SISTÊMICA DO GERENTE DE ALTO DESEMPENHO;18;https://suap.enap.gov.br/vitrine/curso/2649/;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;A PRÁTICA SISTÊMICA DO GERENTE DE ALTO DESEMPENHO;18;https://suap.enap.gov.br/vitrine/curso/2649/;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;PFE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PESSOAS;A PRÁTICA SISTÊMICA DO GERENTE DE ALTO DESEMPENHO;18;https://suap.enap.gov.br/vitrine/curso/2649/;Síncrono;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;PREVIDÊNCIA;A PREVIDÊNCIA SOCIAL DOS SERVIDORES PÚBLICOS: REGIME PRÓPRIO E REGIME DE PREVIDÊNCIA;30;https://www.escolavirtual.gov.br/curso/681;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COGER;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIREITO ADMINISTRATIVO (CORREIÇÃO);A RESPONSABILIZAÇÃO ADMINISTRATIVA NA LEI ANTICORRUPÇÃO;30;https://www.escolavirtual.gov.br/curso/1058;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGTI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;TECNOLOGIA DA INFORMAÇÃO;ABORDAGEM LEAN APLICADA À TRANSFORMAÇÃO DIGITAL NA ADMINISTRAÇÃO PÚBLICA;25;https://www.escolavirtual.gov.br/curso/524;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COMITÊ DE DIVERSIDADE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIVERSIDADE;ACESSIBILIDADE EM ESPAÇOS DE USO PÚBLICO NO BRASIL;30;https://www.escolavirtual.gov.br/curso/275;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGTI;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;TECNOLOGIA DA INFORMAÇÃO;ADMINISTRAÇÃO DE SERVIÇOS NA NUVEM DE GOVERNO;30;https://www.escolavirtual.gov.br/curso/259;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGPE;;ENAP;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;TECNOLOGIA DA INFORMAÇÃO;ADMINISTRAÇÃO DE SERVIÇOS NA NUVEM DE GOVERNO;30;https://www.escolavirtual.gov.br/curso/259;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGPE;;IFRS;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/ifrs-logo.png;GOVERNANÇA;ADMINISTRAÇÃO ESTRATÉGICA;40;https://aprendamais.mec.gov.br/enrol/index.php?id=2200;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGPE;;IFRS;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/ifrs-logo.png;GOVERNANÇA;ADMINISTRAÇÃO ESTRATÉGICA;40;https://aprendamais.mec.gov.br/enrol/index.php?id=2200;Híbrido;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;COGER;;IFRS;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/ifrs-logo.png;GOVERNANÇA;ADMINISTRAÇÃO PÚBLICA - TURMA 2025A;20;https://aprendamais.mec.gov.br/enrol/index.php?id=1840;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGPE;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;DIREITO ADMINISTRATIVO (CORREIÇÃO);ADMISSIBILIDADE CORREICIONAL;20;https://www.escolavirtual.gov.br/curso/819;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRMA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PROJETOS;ÁGIL NO CONTEXTO DO SERVIÇO PÚBLICO;15;https://www.escolavirtual.gov.br/curso/317;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;DIRPA;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PROJETOS;ÁGIL NO CONTEXTO DO SERVIÇO PÚBLICO;15;https://www.escolavirtual.gov.br/curso/317;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;Enap;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/enap-logo.png;GESTÃO DE PROJETOS;ÁGIL NO CONTEXTO DO SERVIÇO PÚBLICO;15;https://www.escolavirtual.gov.br/curso/317;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGRH;;LearnCafe;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/learncafe-logo.png;BEM-ESTAR E SAÚDE;ALIMENTAÇÃO FUNCIONAL: DESCUBRA OS BENEFICIOS DOS ALIMENTOS NATURAIS;9;https://www.learncafe.com/cursos/alimentacao-funcional-descubra-os-beneficios-dos-alimentos-naturais;Autoinstrucional;;;;;;;;;;;;;;
;ABERTO;Educação Corporativa;CGPE;;LearnCafe;https://www.gov.br/inpi/pt-br/servicos/a-academia/educacao-corporativa/arquivos/imagens/learncafe-logo.png;BEM-ESTAR E SAÚDE;ALIMENTAÇÃO INTELIGENTE: MITOS E VERDADES;7;https://www.learncafe.com/cursos/alimentacao-inteligente-mitos-e-verdades;Autoinstrucional;;;;;;;;;;;;;;
